Size	Count
8	143
11	143
30	142
48	143
68	286
77	143
100	143
111	143
128	286
151	286
156	143
207	143
213	286
245	143
250	572
283	143
305	143
326	572
362	429
365	286
379	286
414	286
416	572
417	286
419	286
421	143
423	143
428	286
429	715
430	572
431	286
432	858
501	143
509	286
510	286
516	286
517	572
530	286
532	142
539	143
540	572
541	143
542	143
545	143
547	143
548	143
552	286
554	286
588	143
592	286
593	429
595	286
596	286
597	143
598	286
599	143
601	143
602	143
603	143
609	143
612	143
614	286
616	143
620	286
624	286
625	143
626	143
627	143
635	286
646	143
647	143
648	143
649	143
654	286
660	143
669	143
683	143
698	286
699	286
765	143
782	143
788	143
791	143
817	143
833	143
852	143
968	143
1015	143
1099	143
1106	286
1157	142
1181	143
1299	143
1544	143
1621	143
1631	143
1795	143
1804	143
1824	143
1863	143
1896	143
1940	143
2215	143
2476	143
2553	143
2555	143
2556	143
2662	143
2726	143
2824	143
2968	143
3001	143
3116	143
3177	143
3312	143
3578	143
3625	142
3661	143
3788	286
3897	286
3914	143
4201	142
4267	143
4369	143
4387	143
4423	143
4482	143
4701	143
4716	143
4734	286
4740	286
4751	286
4752	572
4755	286
4756	286
4781	286
4796	286
4800	286
4846	286
4856	286
4867	286
4874	286
4878	286
4907	286
4926	286
4927	286
4929	286
4932	286
4933	286
4934	572
4935	286
4936	286
4937	286
4938	286
4942	286
4944	286
4951	286
4954	286
4965	286
4967	286
4968	286
4970	286
4972	286
4976	572
4977	286
4979	286
4980	286
4996	142
5016	286
5041	143
5043	142
5051	286
5379	286
5479	286
5480	286
5494	286
5501	286
5514	286
5517	286
5530	286
5534	143
5539	286
5544	286
5553	286
5560	286
5571	286
5572	286
5580	286
5589	286
5599	286
5966	143
6443	286
7130	286
7680	143
7733	143
7832	143
8024	143
8197	286
8326	286
8491	142
8556	286
8969	142
8985	142
9379	143
9680	143
9773	286
10147	143
10189	143
10326	143
10351	143
10384	286
10542	142
10665	142
10944	143
10974	286
11307	286
11380	143
11468	142
11964	143
12038	286
12273	286
12369	286
12439	286
12451	286
12456	286
12579	143
12667	143
12747	143
12826	286
12827	286
12831	286
12832	286
12835	286
12856	286
12879	286
12883	286
12899	286
12934	286
12951	286
12953	286
12954	286
12958	286
12970	286
12971	286
12983	286
12992	286
13002	286
13026	286
13064	286
13147	286
13153	286
13159	286
13174	429
13187	286
13204	286
13213	286
13225	142
13256	286
13336	286
13345	286
13362	286
13368	286
13370	286
13374	143
13377	286
13396	286
13453	143
13519	286
13540	286
13556	286
13557	286
13567	286
13901	143
13932	286
13939	286
14098	286
14117	286
14256	143
14259	286
14260	286
14269	286
14270	286
14280	286
14284	286
14327	286
14331	286
14414	286
14428	286
14443	286
14555	286
14822	143
14849	143
14920	143
15009	143
15402	143
15872	143
16064	143
16173	143
16836	142
16946	143
17036	143
17408	143
17685	143
18137	143
18168	143
18203	143
18227	143
18425	143
18571	143
18687	143
18829	142
18954	143
19885	143
19912	143
20109	143
20574	429
20780	143
20966	143
21917	143
21988	143
22113	143
22297	142
22487	143
23210	143
23225	143
23501	143
23833	143
23897	143
23946	143
24087	143
24226	143
24240	143
24576	143
24715	143
24939	143
25438	143
25482	143
25661	143
25829	143
26233	143
26306	143
26624	143
26734	143
27136	143
27146	142
27243	143
27454	143
27551	143
27648	143
27774	143
28083	143
28441	143
29184	143
30387	143
30720	143
30796	142
31232	286
31744	143
33069	143
33257	142
33280	143
34724	142
34789	143
35317	143
36619	142
36721	143
37527	143
37888	143
38144	142
38325	143
38624	142
39936	143
41880	286
42089	143
42094	143
42447	143
42539	142
42616	143
42686	143
42833	143
43008	143
43166	143
43825	142
44450	142
45552	142
46409	143
47997	142
49272	142
52342	143
52409	143
52939	142
53104	143
53149	286
53180	143
54743	143
56566	142
57908	143
58828	143
59016	143
59690	143
61980	142
62782	142
63999	143
64803	143
65124	143
66552	143
68342	143
69728	143
72752	143
76900	143
77362	143
81148	143
81483	143
83503	143
85167	143
86399	142
88172	142
90685	142
91001	142
92715	142
97285	142
97898	143
104676	142
108484	143
109410	142
117879	143
121635	142
124773	143
134703	142
136294	142
136784	286
141111	143
142209	143
144761	143
148748	142
149414	142
153796	286
155718	143
158971	143
163004	285
163174	142
172589	143
177664	143
177721	143
179062	143
184245	143
190711	143
191214	142
191305	143
193587	143
194236	142
235203	143
235264	143
236370	143
241895	142
244670	142
256766	143
304026	143
367476	143
369079	143
378628	143
386726	143
389487	143
404661	143
417790	143
432407	143
449254	142
451912	143
464695	143
517280	142
555390	142
832647	143
869729	143
893507	143
894604	143
894692	143
903805	143
1210098	143
1251680	143
1413240	143
1590513	143
1629865	143
1630697	143
1638125	143
1650136	143
1651457	143
1657626	143
1692249	143
1698248	143
1710022	143
1715421	143
1738708	143
1747746	143
1749307	143
1753046	143
1780405	143
1787592	143
1805607	143
1814824	143
1824715	143
1833306	143
1876805	143
1885082	143
1891615	143
1914102	143
1955454	143
1996240	143
2061754	143
2124081	143
2131616	143
2171895	143
2224767	143
2252992	143
2294341	143
2297383	143
2315822	143
2319343	143
2335449	143
2346529	143
2383241	143
2388068	143
2458492	143
2506306	143
2532637	143
2628080	142
2642176	143
2681617	143
2686395	143
2780803	143
2813978	143
2835901	143
3126466	143
3240329	143
3281742	143
3361460	143
3465906	143
3497935	143
3561356	143
3618217	143
3621675	143
3627567	143
3696225	143
3726286	143
3739423	143
3783592	143
3824036	143
3893943	143
3900355	143
3940903	143
4060872	143
4084085	143
4164216	143
4174004	143
4254548	143
4292433	143
4295589	143
4305635	143
4335209	143
4355921	143
4384232	143
4428158	143
4451269	143
4501423	143
4532275	143
4539692	143
4548859	143
4561305	143
4600144	143
4614541	143
4628626	143
4653520	143
4674330	143
4675221	143
4697100	143
4697719	143
4714483	143
4727916	143
4732453	143
4750396	143
4790468	143
4799132	143
4803326	143
4826024	143
4834098	143
4834263	143
4836827	143
4839159	143
4839917	143
4866424	143
4874427	143
4877411	143
4927017	143
4928380	143
4929657	143
4939189	143
4941117	143
4943740	143
4971849	143
4983797	143
5003922	143
5004635	143
5031616	143
5060504	143
5067940	143
5088377	143
5095359	143
5145509	143
5165056	143
5200339	143
5209106	143
5209162	143
5218683	143
5232954	143
5289186	143
5455910	143
7235496	142
8137488	142
10145857	143
10314226	142
68111944	142
10776215552	141
