Size	AvgBPS
8	74211.39837683315
11	109362.45894010362
30	244882.4232717474
48	426829.2377883198
68	639844.1484600367
77	690619.2384061627
100	889412.768743589
111	1054371.8748636672
128	1200694.9785436601
151	1407285.5573826625
156	1540358.7657491073
207	1911722.80718744
213	2075827.924425744
245	2285621.112099161
250	2271911.5974536245
283	2443990.5636610906
305	2891787.2725285315
326	3189779.61168286
362	3536179.5155771975
365	3472004.3117217603
379	3603220.4301252994
414	3965018.726417187
416	4021003.1342415134
417	3986513.236442601
419	3978061.374814044
421	3927024.0494200327
423	4019267.8435345613
428	3841242.363654568
429	3970329.9152076375
430	3992561.584173559
431	3987505.032488858
432	4178590.1374992426
501	4895854.088584209
509	5007928.979923944
510	5016356.164481304
516	4978498.7387442365
517	4906435.689629687
530	5375218.541900234
532	3857975.876705036
539	5467987.828995472
540	5332493.96727481
541	5401295.439973904
542	5385944.727311295
545	5413406.926516997
547	5410123.50207837
548	5314556.6610416
552	5369282.03512158
554	5376290.978147366
588	5902604.771469928
592	5785840.479794617
593	5620506.95756373
595	6053672.511154553
596	6027411.265579172
597	5941450.475403243
598	5441673.498489567
599	5573081.600937918
601	5909934.659939071
602	6343512.334095491
603	6315818.79573601
609	5835772.381553496
612	5778192.922348726
614	6091121.102388515
616	6262763.942227089
620	6066331.102124359
624	6019566.75320307
625	6099326.664078378
626	6284126.498779352
627	6197100.240236512
635	6300776.360502031
646	6212559.1143108625
647	5092303.813599813
648	5947872.051942834
649	3766305.846122789
654	5413681.135740887
660	5453344.304930291
669	5357955.673288967
683	5252548.168845358
698	5430892.777592732
699	5363180.136303358
765	5993892.767913813
782	6075513.318663202
788	6211743.5425782455
791	6181877.871451429
817	6329772.818436304
833	6487385.669878367
852	6454963.551461654
968	6461511.141232946
1015	6588106.817045176
1099	7556828.616227357
1106	8619895.28449718
1157	2859330.2534461757
1181	8543270.214747978
1299	6649398.5103273
1544	9979524.550004989
1621	12132322.379932603
1631	11671918.915838845
1795	13609182.088536901
1804	12866538.66146587
1824	12167456.55436132
1863	15439280.735668955
1896	16394554.704261856
1940	14271790.123894125
2215	11689023.16791906
2476	14479600.145854177
2553	16324503.94797575
2555	12365265.128557999
2556	16354855.843951508
2662	16803543.331278022
2726	19027853.819913432
2824	18884318.196223322
2968	19557657.390859522
3001	15842835.956947
3116	17841272.27609324
3177	22846508.504703563
3312	28864112.852546215
3578	20087617.87576083
3625	19703881.385768846
3661	23902718.258253153
3788	15246796.603938663
3897	25224235.611006852
3914	25215453.131268576
4201	24717448.0768212
4267	28273265.0402974
4369	27719186.139286608
4387	25218481.212605007
4423	25363410.42412762
4482	28122003.616564777
4701	28032621.86366716
4716	34923507.8413262
4734	29724863.04491345
4740	30075593.05593109
4751	27829762.848035764
4752	28956278.49049217
4755	31228977.704843335
4756	30438522.752893195
4781	32295973.46306704
4796	30150756.89710807
4800	28468282.332040403
4846	31053541.316004954
4856	31013530.284641765
4867	28231384.626734167
4874	22515208.970616262
4878	30708723.47219469
4907	23516029.442041755
4926	30090363.129630975
4927	30367055.222465187
4929	23671012.582624175
4932	31889131.79618308
4933	29564667.007299278
4934	27803587.61797414
4935	23914871.155346744
4936	33181628.33195505
4937	29416857.513286564
4938	30152856.31598708
4942	30393368.990695387
